Fecha,Año,Mes,IPC,pi_t,TPM_obs,TC_obs,var_tc,PIB_obs,var_pib
2013-11-01,2013,11,85.28568493543753,4.143075402174845,6.25,42.461025,6.324136746857567,76.68368238747742,7.275603602021107
2013-12-01,2013,12,85.60215753228115,3.876038224524403,6.25,42.60476666666667,6.060087436675499,76.68368238747742,7.275603602021107
2014-01-01,2014,1,85.8008728837876,2.8223672605397487,6.25,42.863765,5.639362679952331,75.99636262705756,7.097006133289412
2014-02-01,2014,2,86.0952659971305,2.839560439560396,6.25,43.08652631578948,5.755210644505016,75.99636262705756,7.097006133289412
2014-03-01,2014,3,86.54421549497842,2.98651252408475,6.25,43.11520476190477,5.181733115475939,75.99636262705756,7.097006133289412
2014-04-01,2014,4,86.91220688665705,3.48786258873015,6.25,43.10995,5.011290371036603,78.75046055318735,7.1903166137879
2014-05-01,2014,5,86.9269265423242,3.696224758560152,6.25,43.17346666666666,5.057944211920362,78.75046055318735,7.1903166137879
2014-06-01,2014,6,86.94164619799133,3.6773740565209767,6.25,43.36232,4.581818111656322,78.75046055318735,7.1903166137879
2014-07-01,2014,7,87.25811879483494,3.41037941561273,6.25,43.46965217391305,3.7272321618930127,77.55932493716597,6.643851620393932
2014-08-01,2014,8,87.59667087517927,3.127978511394147,6.25,43.4928761904762,2.6444230618379416,77.55932493716597,6.643851620393932
2014-09-01,2014,9,87.76594691535145,2.828317668362512,6.25,43.65076666666667,2.433766332305898,77.55932493716597,6.643851620393932
2014-10-01,2014,10,87.69234863701573,2.884034193938345,6.25,43.80380434782609,3.216015308328779,82.42872682091404,7.491873439785152
2014-11-01,2014,11,87.567231563845,2.67518122195376,6.25,44.02353684210527,3.679873112119325,82.42872682091404,7.491873439785152
2014-12-01,2014,12,86.9563658536585,1.5819791935345329,6.25,44.14345,3.6115286004773983,82.42872682091404,7.491873439785152
2015-01-01,2015,1,86.79444964131991,1.1580030880082637,6.25,44.462288888888885,3.729312833086129,81.38772690488976,7.0942398970982765
2015-02-01,2015,2,86.97108550932565,1.017267909044306,6.25,44.7487947368421,3.857977338134755,81.38772690488976,7.0942398970982765
2015-03-01,2015,3,87.09620258249637,0.6378093375287275,6.25,44.65682727272727,3.5755889815108466,81.38772690488976,7.0942398970982765
2015-04-01,2015,4,86.8754077474892,-0.0423405876873284,5.75,44.69639047619047,3.67998681555064,84.50002451872479,7.300990908687098
2015-05-01,2015,5,87.12564189383068,0.2286004572009448,5.25,44.76048,3.675899703830443,84.50002451872479,7.300990908687098
2015-06-01,2015,6,87.47891362984215,0.6179632608144026,5.0,44.81256666666667,3.344485873142111,84.50002451872479,7.300990908687098
2015-07-01,2015,7,87.69234863701577,0.4976383265857587,5.0,44.93797391304348,3.3778088061436007,83.61989640745034,7.814110650388329
2015-08-01,2015,8,87.97202209469152,0.4284994118636254,5.0,45.017028571428575,3.5043724730399184,83.61989640745034,7.814110650388329
2015-09-01,2015,9,88.1118588235294,0.3941299790356956,5.0,45.10494761904762,3.3313984230463056,83.61989640745034,7.814110650388329
2015-10-01,2015,10,88.76688350071736,1.2253462022661088,5.0,45.226859090909095,3.248701258418518,87.21999157154133,5.812615256131366
2015-11-01,2015,11,88.91408005738882,1.538073625819525,5.0,45.32954,2.966602076018643,87.21999157154133,5.812615256131366
2015-12-01,2015,12,88.99503816355812,2.34447735928911,5.0,45.439004545454544,2.9348737931777835,87.21999157154133,5.812615256131366
2016-01-01,2016,1,88.98767833572454,2.5269227507844105,5.0,45.525358823529416,2.39094738756509,86.11082732082691,5.80320964296817
2016-02-01,2016,2,88.48721004304163,1.7432512482018048,5.0,45.66247142857143,2.0417906160433263,86.11082732082691,5.80320964296817
2016-03-01,2016,3,88.47985021520806,1.5886428933582053,5.0,45.71518571428572,2.369981268697985,86.11082732082691,5.80320964296817
2016-04-01,2016,4,88.39889210903875,1.7536428329380405,5.0,45.76820952380952,2.397999114022431,91.58420053238416,8.383637820234682
2016-05-01,2016,5,88.61968694404592,1.714816692008836,5.0,45.8115,2.3480981437196347,91.58420053238416,8.383637820234682
2016-06-01,2016,6,89.14959454806315,1.9098098603399505,5.0,45.86519090909091,2.3489487898652905,91.58420053238416,8.383637820234682
2016-07-01,2016,7,89.31887058823531,1.8548048678137088,5.0,45.92554285714286,2.1976267688667006,89.5116513551424,7.045876879568965
2016-08-01,2016,8,89.26735179340031,1.4724336986530862,5.0,45.94209545454545,2.0549265743941225,89.5116513551424,7.045876879568965
2016-09-01,2016,9,89.30415093256816,1.3531573671901276,5.0,46.08025,2.1622957844662505,89.5116513551424,7.045876879568965
2016-10-01,2016,10,89.57646456241034,0.9120305115662086,5.0,46.34468095238096,2.4715885293404183,92.14818471404767,5.650302245746104
2016-11-01,2016,11,89.6942218077475,0.8774108103633882,5.5,46.48969090909091,2.5593705762090524,92.14818471404767,5.650302245746104
2016-12-01,2016,12,90.50380286944046,1.695335759179617,5.5,46.58583636363637,2.523892918989024,92.14818471404767,5.650302245746104
2017-01-01,2017,1,91.06314978479196,2.332313290877508,5.5,46.68719,2.552052760252166,90.86989554918692,5.526678091976663
2017-02-01,2017,2,91.44586083213774,3.3435914497213397,5.5,47.02214210526316,2.9776545906382346,90.86989554918692,5.526678091976663
2017-03-01,2017,3,91.26186513629844,3.144235568125086,5.5,47.21452608695652,3.279742495286997,90.86989554918692,5.526678091976663
2017-04-01,2017,4,91.50473945480633,3.5134460078261487,5.75,47.28413157894737,3.312172512121614,93.5434456878763,2.139282915724465
2017-05-01,2017,5,91.37226255380202,3.106054314425699,5.75,47.33827272727273,3.3327280863379998,93.5434456878763,2.139282915724465
2017-06-01,2017,6,91.42378134863702,2.5509782877899623,5.75,47.4114380952381,3.371286929148498,93.5434456878763,2.139282915724465
2017-07-01,2017,7,91.58569756097562,2.537903757415938,5.75,47.440238095238094,3.29815423806068,91.86271397182522,2.6265436745824786
2017-08-01,2017,8,92.10824533715926,3.1824552724874167,5.25,47.47677727272728,3.340469787017475,91.86271397182522,2.6265436745824786
2017-09-01,2017,9,92.69703156384506,3.7992417999010986,5.25,47.62176842105263,3.345290924100075,91.86271397182522,2.6265436745824786
2017-10-01,2017,10,92.69703156384506,3.483690740284273,5.25,47.73457727272727,2.99904172773231,97.21533230445574,5.498912003673567
2017-11-01,2017,11,93.403575035868,4.135554279149911,5.25,47.87618571428571,2.9823704526365846,97.21533230445574,5.498912003673567
2017-12-01,2017,12,94.3088338593974,4.204277466048612,5.25,48.113545,3.279341438541006,97.21533230445574,5.498912003673567
2018-01-01,2018,1,94.58114748923958,3.8632506263638335,5.25,48.33461904761905,3.5286532507504687,96.9582937460671,6.7001267692495645
2018-02-01,2018,2,94.47810989956956,3.3158953722333795,5.25,48.74407894736842,3.6619702229867768,96.9582937460671,6.7001267692495645
2018-03-01,2018,3,94.83138163558104,3.911290322580641,5.25,49.111285714285714,4.017322177153426,96.9582937460671,6.7001267692495645
2018-04-01,2018,4,95.20673285509324,4.045684870908062,5.25,49.285865,4.233414793101287,99.59438215788045,6.46858411672595
2018-05-01,2018,5,95.45696700143468,4.470398711236356,5.25,49.310550000000006,4.1663481979793415,99.59438215788045,6.46858411672595
2018-06-01,2018,6,95.65568235294116,4.628884237642872,5.25,49.32060952380952,4.026816112888976,99.59438215788045,6.46858411672595
2018-07-01,2018,7,95.640962697274,4.427836708453836,5.25,49.489568181818186,4.3198140837025,99.47359985143224,8.285065344293386
2018-08-01,2018,8,95.6704020086083,3.8673591689971865,5.5,49.64837272727273,4.5740161386078615,99.47359985143224,8.285065344293386
2018-09-01,2018,9,95.74400028694404,3.2870186581976717,5.5,49.74966315789474,4.468323641466054,99.47359985143224,8.285065344293386
