Unnamed: 0,Banco Central de la República Dominicana,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Departamento de Cuentas Nacionales y Estadísticas Económicas,,,,,,,,,,,,,,
Indicador Mensual de Actividad Económica (IMAE),,,,,,,,,,,,,,,
Índices de volumen encadenados (promedio 2018 = 100),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Período,,Serie Original,,,,Serie Desestacionalizada,,,,,Serie Tendencia-Ciclo,,,,
,,Índice,Variación porcentual (%),,,Índice,Variación porcentual (%),,,,Índice,,Variación porcentual (%),,
,,,Interanual,Acumulada,Promedio 12 meses,,Respecto al período anterior,Interanual,Acumulada,Promedio 12 meses,,Respecto al período anterior,Interanual,Acumulada,Promedio 12 meses
,Julio,61.38976905,-0.8237937859082791,-2.267838959023834,-2.517291409889637,61.6283050114635,1.1759778243984158,-0.5156255206854752,-2.2490171891950865,-2.5182480840490484,61.0445939738509,0.8469983457223123,1.045642074367521,-1.794947448416309,-1.8888826021529752
,Agosto,59.63981812,3.368535974609415,-1.6048974357326529,-2.006564383812943,61.1786932746394,-0.7295539553464465,3.39301097343197,-1.5646544937907407,-2.000724453829889,61.5066319371899,0.7568859636234464,2.616907007970596,-1.2511188729691156,-1.6808679393892731
,Septiembre,57.92197824,6.035527776195252,-0.8393305520231706,-1.205025735119989,61.9019272571978,1.182166443653344,5.671803210024834,-0.7888320482284144,-1.1889304922876818,61.9046552138511,0.6471225364244475,4.0343952449509715,-0.6748377880600174,-1.2193342081810101
,Octubre,62.48766211,3.5055700609239153,-0.40614730802138865,-0.9039729825132383,62.4769529395057,0.9289301767919369,3.6958048182725918,-0.3434329511115948,-0.883913245897574,62.3178842590018,0.6675249926248625,5.270352763395053,-0.09307030503372005,-0.5705931135808981
,Noviembre,62.71423054,9.550430488165773,0.4538397460205772,0.336280739223227,62.5825244484824,0.1689767250315839,9.059391179526102,0.4691347112044184,0.3389459776896615,62.838182491975,0.8349099767424093,6.365523242272417,0.48153734049873265,0.19613365577740183
,Diciembre,64.9153675099999,7.008231443780161,1.003452926921966,1.003452926921966,63.3460855900246,1.220086834577529,6.761341587105349,0.9852547128477198,0.9852547128477198,63.4557137829018,0.9827325782467966,7.451645720461315,1.0507916171526688,1.0507916171526688
Promedio 2009,,60.89204516999999,1.003452926921966,1.003452926921966,1.003452926921966,60.87441249339228,,0.9852547128477198,0.9852547128477198,0.9852547128477198,60.89047545977167,,1.0507916171526688,1.0507916171526688,1.0507916171526688
,Enero,60.37279092,3.97421858244509,3.97421858244509,1.6246735544865913,61.8308555673887,-2.3919868268458657,4.0017864350678565,4.0017864350678565,1.6068985368921034,64.1353216255884,1.0709955056399139,8.591373140687338,8.591373140687338,1.9968982523698457
,Febrero,64.6020962,10.385492911542542,7.192474010451221,2.771265114611765,64.7163115460635,4.666692628132836,10.235679515511606,7.0990936989499716,2.756082256379713,64.7385125338725,0.940497206524384,9.50425101759069,9.048037929084686,3.0292263938589628
,Marzo,68.24462559,11.587172484576698,8.704572555186402,3.8947229030061408,66.1297877777459,2.1841112355056396,12.049627317332707,8.748132059902701,3.894257497005711,65.1845641350049,0.6890050198466042,9.964500476933935,9.354170748338817,4.111808139256581
,Abril,67.95597553,8.69047822147921,8.700904959560546,4.856741592978182,65.8563383091728,-0.4135042282188124,9.512386836314818,8.94179679782114,4.865981166309368,65.4824609829152,0.45700520033133785,9.887512202377508,9.48824449520167,5.165589406135538
,Mayo,66.06493546,9.023787916675815,8.765936018419083,5.9710465197475315,64.3699474917247,-2.257020137484716,8.818969433831668,8.917289349331497,5.972106457144832,65.6811971983076,0.30349533662801775,9.401034793351883,9.470620595174935,6.111896533462087
,Junio,65.74985285,8.196245807772385,8.670205583137161,6.710209683997533,66.0843359200709,2.6633366891694266,8.491500850875227,8.844717470941063,6.730253660471192,65.8587643783585,0.27034705155386973,8.80011267108533,9.35712768699075,6.903258441285189
,Julio,65.3038042099999,6.375712468981675,8.337227057761382,7.334929019295842,65.7668485021688,-0.48042764367959023,6.7153290844774745,8.531523013264518,7.35787012633628,66.1213826165793,0.39875974093904176,8.316524547453113,9.20539884758466,7.518475097700517
,Agosto,65.09496018,9.146812032564938,8.437262217292925,7.8057500418029235,66.5768821989063,1.2316747954112373,8.823642080803708,8.568740847482914,7.810942181711809,66.4930116901004,0.5620406876185342,8.107060321564276,9.064708662444758,7.978713293689864
,Septiembre,63.28075726,9.251719611156716,8.524528390630763,8.056771896725053,67.1635974465014,0.8812597229203476,8.500010294415802,8.560892382827959,8.044532066536263,66.9386713119767,0.6702352781873628,8.13188617356073,8.95818065604442,8.318139714046353
,Octubre,67.27817077,7.6663272368344195,8.435605804382988,8.404024272592792,67.3898422105609,0.33685623263362174,7.863522530959827,8.488824712701913,8.392111344813387,67.4057361356019,0.6977503653282469,8.164352716877033,8.876330311817199,8.554587105818825
,Noviembre,68.02752415,8.47222961080756,8.4390555958894,8.319571795016458,67.5631566152239,0.25718179324634605,7.958503129482295,8.439077250453565,8.302050631032955,67.766816918315,0.5356825745314922,7.8433752073740095,8.779048981296825,8.671116194107768
,Diciembre,70.1166000399999,8.012328558717272,8.401145413523281,8.401145413523281,68.3790616900631,1.207618346617238,7.9452045902439465,8.396250143350585,8.396250143350585,68.0043162675829,0.3504655524165514,7.168152737581707,8.639152210081377,8.639152210081377
Promedio 2010,,66.00767442999997,8.401145413523281,8.401145413523281,8.401145413523281,65.98558043963256,,8.396250143350585,8.396250143350613,8.396250143350585,66.1508963161836,,8.639152210081406,8.639152210081406,8.639152210081377
,Enero,63.98339504,5.980515502065174,5.980515502065174,8.552452596775211,65.4378970137917,-4.301265041633073,5.833723976974127,5.833723976974127,8.536541011549389,68.1542764146216,0.22051563087354964,6.266367248448844,6.266367248448844,8.436154675641134
