Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Banco Central de República Dominicana,,,,,,,,,,,,,,,,
Departamento de Programación Monetaria y Estudios Económicos,,,,,,,,,,,,,,,,
División de Encuestas Macroeconómicas,,,,,,,,,,,,,,,,
Encuesta de Expectativas Macroeconómicas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mediana de las expectativas,,,,,,,,,,,,,,,,
Año,Mes,Inflación,,,,Variación porcentual interanual implícita del tipo de cambio,,,,Crecimiento interanual del PIB real,,,Tasa de política monetaria (TPM),,,
,,Año actual,En 12 meses,Año siguiente,En 24 meses,Año actual,En 12 meses,Año siguiente,En 24 meses,Trimestre actual,Año actual,Año siguiente,Mes actual,Trimestre actual,Año actual,En 12 meses
2011,3,6.8,7.475,6.3,,5.19445924347364,3.16622691292876,3.29358879062311,,4.9,5.5,6.1,6,6,7.5,
2011,4,7,7.175,6,,5.44752264251466,3.01602009659889,2.76297370565745,,4.5,5.5,6,6.25,6.75,7.75,
2011,5,7.3,7,6,,5.71390516782099,2.87762056102204,2.4542707811708,,4.4,5.5,6,6.75,7,7.875,
2011,6,7.5,7,6.1,,6.02024507192327,2.07002300025554,2.20141700404857,,4,5,6,6.75,7.25,7.6,
2011,7,7.98,7.35,6,,6.11534363345765,1.89423027696718,1.51719332804386,,4,5,5.6,6.75,7,7.25,
2011,8,8,7.5,6.3,,6.85935002663826,2.0538001393564,1.65147316447676,,4,4.5,5.35,6.75,6.75,7.075,
2011,9,8.46,7.55,6,,6.88665423548216,1.71177602654117,1.97429148987271,,4.15,4.475,5.105,6.75,6.75,7,
2011,10,8.01,7,6.3,,3.7559936068194,3.27576754385965,3.93778807143685,,4.4,4.5,5,6.75,6.75,6.75,
2011,11,8.33,8,6.055,,3.88918486947256,5.71428571428572,5.06410256410257,,4.5,4.25,4.75,6.75,6.75,6.75,
2011,12,7.98,6,6,,2.98348428343101,4.53623188405796,4.53623188405796,,4.85,4.5,5,6.75,6.75,6.75,
2012,1,6.055,6.91,5.74,,4.89438433797013,5.75447570332481,3.76302996592002,,4.25,4.5,5.16,6.75,6.75,7,
2012,2,6.25,6.12,6,,4.58526532715096,5.12820512820513,4.00497512437812,,4,4.5,5,6.75,6.75,7.25,
2012,3,6.17,6.13,5.5,,4.8428645028336,4.59183673469388,4.00497512437812,,4.4,4.6,5,6.75,6.75,7.375,
2012,4,6.125,6.235,6,,6.04070066975786,5.49872122762148,4.50248756218906,,4,4.5,5,6.75,6.75,7,
2012,5,5.58,5.68,5.54,,4.198866563627,5.16150516150516,4.298405929536,,4.375,4.5,5.2,6.75,6.75,7.25,
2012,6,5,6.17,5.5,,4.8428645028336,6.13810741687979,4.00497512437812,,4.1,4.5,5,6,6,5.875,
2012,7,4.5,5.95,5.5,,3.29726944873776,5.60102301790282,4.52837573385518,,4,4.125,4.88,6,6,5.625,
2012,8,3.8,5.55,5,,2.9108706852138,4.77824866693334,3.97151276769057,,4,4,4.9,5.5,5.25,5,
2012,9,4,5.25,5,,3.54752704791345,5.63593101271458,3.83816787190212,,3.95,4,4.6,5,5,5,
2012,10,4.2,5.33,5,,3.03967027305512,5.03778337531486,3.94316579384022,,4,4,4.5,5,5,5,
2012,11,4,5.515,5.23,,3.68753219989696,4.473888055972,4.66124661246612,,3.95,4,4,5,5,5,
2012,12,3.95,5.08,5.13,,3.68366821226171,4.58035103293939,5.06700798486616,,3.9,4,3.5,5,5,5,
2013,1,5.6,5.3,5,,5.61881188118813,4.47174447174448,3.91705069124424,,3.5,3.3,4.69,5,5,5.375,
2013,2,5.895,5.68,5,,6.06435643564357,5.01222493887531,3.78475491170284,,3.1,3.2,4.6,5,5,5,
2013,3,6,5.56,5,,6.43564356435644,5.06822612085769,4.51162790697675,,3.2,3.25,4.94,5,5,5.25,
2013,4,5.5,5.5,4.9,,5.22277227722772,4.17686541869519,3.95348837209304,,3.05,3.625,4.6,5,5,5,
2013,5,5.15,5.1,5,,3.96039603960396,4.54379200039676,4.04905152169353,,2.59,3,4,5,5,5,
2013,6,5.16,5.18,5,,5.44851485148514,4.38554216867471,4.03111739745403,,2.2,3,4,4.25,4.25,4.25,
2013,7,5.16,5.14,5,,6.18811881188119,4.04761904761906,4.06698564593302,,3,2.775,4.15,4.25,4.25,4.25,
2013,8,5,5.4,5.22,,6.85643564356437,5.22689474934663,4.51162790697675,,2.8,3,4,4.25,4.25,4.25,
2013,9,5.1,5.22,5,,11.3861386138614,3.4965034965035,-3.9080459770115,,2.45,2.5,3.75,6.25,6.25,6.25,
2013,10,5.2,5.35,5,,6.46039603960396,4.04075675147182,4.50000000000002,,2.45,2.5,3.9,6.25,6.25,6.25,
2013,11,5,4.79,4.825,,6.43564356435644,5.83537636436424,5.7546152001918,,3,2.8,4,6.25,6.25,6.25,
